id,news_url,title,tweet_ids,full_text
politifact10371,http://us3.campaign-archive1.com/?u=468d5dc43334640650b81443f&id=711f7c7ca0&e=6d7cef570b,Rep. Michael McCaul (R-TX) Appears on Face the Nation,1.0625E+18,@CBSNews @LindseyGrahamSC @FaceTheNation https://t.co/IXArshE2ap
politifact10371,http://us3.campaign-archive1.com/?u=468d5dc43334640650b81443f&id=711f7c7ca0&e=6d7cef570b,Rep. Michael McCaul (R-TX) Appears on Face the Nation,1.02089E+18,
politifact356,https://web.archive.org/web/20070105024255/http://www.focusonthefamily.com:80/press/focusvoices/A000000025.cfm,Dr. James Dobson,1.0173E+18,"Embattled Papa John's exec John Schnatter resigns as chairman of the board at the pizza chain after admitting to using racial slur on a conference call

Rob Kim/Getty Images

Papa John's founder and former CEO John Schnatter resigned from his position as chairman of the boar…"
politifact7923,https://twitter.com/BarackObama/status/347057653089988608,Barack Obama on Twitter,8.07954E+17,I cannot wait to hear what @BarackObama has to say the minute he's no longer President. His Twitter feed is gonna be golden.
politifact9512,https://www.youtube.com/watch?v=67ubjGrTipk&feature=youtu.be,Joni Ernst "Promises" Ad,1.04244E+18,Hey Humane Society @HSLegFund &amp; League of Conservation Voters @LCVoters Pls tell us what is humane/environmentally friendly about #BillS3119 AKA culling sea lions? @SenatorCantwell shouldn't receive a 100% score for barbaric culls &amp; hostility to wildlife. https://t.co/kKDmh7bwPh
politifact348,http://www.pollingreport.com/C2.htm#Hillary,Political Figures: C (2),1.06279E+18,
politifact12486,http://www.cq.com/doc/newsmakertranscripts-4901417?5,foreign policy speech,1.02253E+18,"What a mature, sensible, humble speech from IK after winning the elections - covering everything: economic crisis, foreign policy, minority rights, accountability. The real challenge now is to deliver on these promises. We'll be by his side hoping he does! https://t.co/Nhr5bxafZS"
politifact13469,http://www.cnn.com/TRANSCRIPTS/1611/13/sotu.01.html,Transcripts,1.07058E+18,one time i got high off an edible and I was watching Obama's state of the union address and he didn't even look like an actual human being. i experienced what an alien would experience if they came to down to Earth and saw a person for the first time. then i cried
politifact12556,https://web.archive.org/web/20160709050756/https://www.donaldjtrump.com/press-releases/donald-j.-trump-on-the-stakes-of-the-election,Donald J. Trump on the Stakes of the Election,1.00481E+18,
politifact9512,https://www.youtube.com/watch?v=67ubjGrTipk&feature=youtu.be,Joni Ernst "Promises" Ad,1.02458E+18,"@1a Florida's waters are in crisis. Please host a show on this, featuring speakers such as Scientists Jennifer Hecker and John Cassini, League of Conservation Voters and @ProPublica https://t.co/FEOn4FZVsz"
politifact13229,https://www.washingtonpost.com/news/post-politics/wp/2016/01/02/donald-trump-featured-in-new-jihadist-recruitment-video/,Donald Trump featured in new jihadist recruitment video,6.834E+17,Donald Trump featured in new jihadist recruitment video #c2g2 https://t.co/7EsfrNmY8s
politifact12104,https://medium.com/@RepJoePitts/one-in-four-6665a7ddffd#.owx09xl56,One in Four – Congressman Joe Pitts – Medium,1.07143E+18,@Hefe45581356 @summerdru @King_DREAMER He defeated one of the four archangels who also had commandments in his body.
politifact303,,Meet Barack Obama,1.05923E+18,"@FoxNews @BarackObama Damn,he showed up in chicago? Did he meet up with faraquack?"
politifact671,https://web.archive.org/web/20080828144739/http://www.demconvention.com/joe-biden/,Democratic National Convention,1.02118E+18,Ministry UPDATE: Exciting news—total office &amp; home redo https://t.co/xuSoHiUG4P https://t.co/mNiZA4Vh25
politifact12486,http://www.cq.com/doc/newsmakertranscripts-4901417?5,foreign policy speech,1.06751E+18,"Its not about #SaudiArabia vs #Iran, or about #ISIS vs #Assad - its about #freespeech and #humanrights vs authoritarian violence.  We need to stand up on the side of human rights and free speech every time. #ForeignPolicy https://t.co/4Bsn7EYitx"
politifact341,http://www.youtube.com/watch?v=Yj3QAzSWVA4,Mike Huckabee: Fried Squirrel Out of a Popcorn Popper,1.01991E+18,@Morning_Joe @JohnBrennan On Fox Mike Huckabee says it best that your irrational hysteria and Brennan is an excellent example of the above only drives more people to vote for Republicans and align with Trump.  Reeeeaalllly “treason” Brennan?? Need rational honest criticism to be believed not hysteria.
politifact279,http://youtube.com/watch?v=pesbcAei6p8,TPMtv Extra: South Carolina Ronald Reagan Debate,9.97969E+17,
politifact671,https://web.archive.org/web/20080828144739/http://www.demconvention.com/joe-biden/,Democratic National Convention,1.01167E+18,
politifact9512,https://www.youtube.com/watch?v=67ubjGrTipk&feature=youtu.be,Joni Ernst "Promises" Ad,1.02651E+18,THE YONKERS INSIDER: News from New York League of Conservation Voters. https://t.co/otYCAFXnvP
politifact10371,http://us3.campaign-archive1.com/?u=468d5dc43334640650b81443f&id=711f7c7ca0&e=6d7cef570b,Rep. Michael McCaul (R-TX) Appears on Face the Nation,1.02092E+18,"@MLCzone @Eviljohna @FaceTheNation @margbrennan @CBSNews I agree- it was a rookie mistake. 

My concern is this: we need every vote and every voter to show up at the polls in November. But I am still seeing democrats attacking independents CONSTANTLY. We can't afford this divisiveness. The only winner is going to be republicans."
politifact12486,http://www.cq.com/doc/newsmakertranscripts-4901417?5,foreign policy speech,1.01935E+18,"@DrLovlie @seanhannity I am old enough to remember Reagan. I remember the outrage and the way Reagan was treated by academics and the media.  This is not the same era and Trump is not Reagan. No reference to an Obama speech, Bush speech, or Clinton.  “The 80s called they want their foreign policy back”"
politifact1201,http://www.msnbc.msn.com/id/32935603/ns/meet_the_press/page/3/,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1.01357E+18,@samoht23 @MeetThePress @LindseyGrahamSC I don5 what don5 means....
politifact11021,http://www.ams.usda.gov/AMSv1.0/COOL,Country of Origin Labeling (COOL),9.2842E+17,"Research by the US Department of Agriculture found that a young, healthy tree cools the air equivalent to 20 single room air-conditioners operating for 20 hours a day"
politifact10371,http://us3.campaign-archive1.com/?u=468d5dc43334640650b81443f&id=711f7c7ca0&e=6d7cef570b,Rep. Michael McCaul (R-TX) Appears on Face the Nation,1.01343E+18,"@FaceTheNation Donald Trump will never be president till he is a goon, a troll, a hemroid. He doesn't deserve to breathe he needs to go and he needs to take his creep Fest of a family with him"
politifact348,http://www.pollingreport.com/C2.htm#Hillary,Political Figures: C (2),1.0211E+18,
politifact8005,http://www.cq.com/doc/newsmakertranscripts-4310502,interview on Fox News,1.02289E+18,
politifact12773,https://www.washingtonpost.com/news/post-politics/wp/2016/06/13/hillary-clintons-speech-following-the-orlando-shooting/,‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,7.42842E+17,"Hillary Clinton on Tuesday bashed Donald Trump's response to the mass shooting in Orlando, accusing him of... https://t.co/TIKDHfw1Gs"
politifact1216,https://web.archive.org/web/20091003005639/http://barackobamaexperiment.com:80/posts/1575,“Dictionary” on President Obama’s Health Care Taxes,1.0555E+18,"Trump Official Did Undisclosed Work With Scandal-Plagued GOP Fundraiser

""Meetings arranged for Elliott Broidy, a major Trump fundraiser and former Republican National Committee official, should have triggered foreign agent registration, experts say.""

https://t.co/6vYtaoI6Yy"
politifact370,http://tonto.eia.doe.gov/dnav/pet/pet_move_wkly_dc_NUS-Z00_mbblpd_w.htm,U.S. Imports & Exports,1.07079E+18,"U.S. crude oil exports surge to record 3.2 million bpd last week: EIA: U.S. crude oil exports surged to 3.2 million barrels per day (bpd) last week, the highest on record, based on data going back to 1991, U.S. Energy Information Administration data… https://t.co/AO0IjjSIgX https://t.co/e9UONHIKlI"
